Chord Location - x/c - Panel Method,Pressure Coefficient - Panel Method,Chord Location - x/c - NACA 4412,Pressure Coefficient - NACA 4412
0.9967,0.34,,
0.9843,0.27,,
0.9597,0.22,,
0.9237,0.2,,
0.8772,0.19,,
0.8215,0.19,,
0.758,0.2,,
0.6884,0.2,,
0.6143,0.2,,
0.5376,0.21,,
0.4602,0.21,,
0.3843,0.23,,
0.312,0.23,,
0.2442,0.24,,
0.1824,0.25,,
0.1278,0.28,,
0.0816,0.35,,
0.045,0.5,,
0.019,0.8,,
0.0044,0.91,,
0.0018,-0.8,,
0.0116,-1.64,,
0.034,-1.59,,
0.0684,-1.49,,
0.1142,-1.4,,
0.1702,-1.32,,
0.2349,-1.23,,
0.3065,-1.12,,
0.383,-0.97,,
0.4616,-0.82,,
0.5406,-0.69,,
0.6185,-0.57,,
0.6931,-0.45,,
0.7628,-0.34,,
0.8259,-0.23,,
0.8808,-0.12,,
0.9263,-0.01,,
0.9613,0.1,,
0.9851,0.19,,
0.9971,0.34,,
